person;rating;review_bersih
486;1;kirim kartu butuh blokir transaksi beda swasta cepat minggu senin proses selasa rabu bca lambat gaji paket utama
487;1;pilih aplikasi login solusi registrasi saldo akses alas otomatis password
488;1;aplikasi buruk
489;1;password login salah main bca
490;1;sumpah mybca aplikasi alay ganti bank verifikasi data wajah rekam sistem jatuh
491;1;sertifikasi wajah gagal
492;1;mohon akses kapal pesiar kirim saldo jaring
493;1;aplikasi buruk reset password suruh input verifikasi habis detik login valid kirim pulsa rupiah kali muncul tunggu menit
494;1;login pulsa nomernya jaring bagus verifikasi solusi
495;1;contoh gopay verifikasi gaya login belok kiri kanan buka mulut nyamuk gagal
496;1;buka rekening online sulit bangsat video langgan service bilang kendala verifikasi password tuju salah mudah cabang
497;1;ganggu bayang bca transaksi desak
498;1;login lambat ampun aplikasi nyusahin
499;1;mudah registrasi pinjam online
500;1;login negeri verifikasi suruh bca solusi sesal bank
501;1;update bingung gagal kirim
502;1;semenjak verifikasi wajah malas posisi tahap gagal ujung blokir wajib langgan service normal salah aplikasi lambat bangsat
503;1;bintang aplikasi fungsi simpan buka mybca nyoba lihat
504;1;layan rugi boros pulsa sebentar habis lambat cepat
505;1;verifikasi wajah salah
507;1;susah keluh reset password bug aplikasi ulang kali gagal cepat
508;1;rekening bca password login aplikasi lambat
509;1;aman verifikasi sms rumit
510;1;kecewa pelihara sistem jam sibuk transaksi
511;1;sederhana rumit mobilitas
512;1;lambat jaring bagus mybca muat
513;1;gagal verifikasi blokir binatang
514;1;sedia online ketemu logika biar kantor suruh tatap wajah
515;1;aplikasi becus tangan update flazz gagal malu kelas bca teknisi
516;1;bayar qris gagal
517;1;video tunggu muncul kali
518;1;data jaring login password
519;1;isi kena mutasi ujung tarik kali sisa saldo langsung hilang lucu bca
520;1;lancar maksimal minta limit tuju pelit bca
521;1;aplikasi transaksi muncul salah
522;1;verifikasi lambat gagal niat aplikasi
524;1;minggu asem layan mobile banking lambat gagal transfer payah kecewa isi flazz susah jaring jam trouble heran bca
525;1;bca susah transaksi
526;1;lambat salah ganti aplikasi jam transaksi malam desak
527;1;jujur fase muak buka rekening bca lambat kali transaksi internet lancar saldo salah pindah kartu mesin mobile banking praktis rumit malu password desak cabut
528;1;aplikasi buruk gara matin langsung blokir verifikasi pulsa password login
529;1;bayar susah buka
530;1;pindah bca rugi nyoba masuk saldo langsung potong ribu
531;1;aplikasi downgrade bangsat stabil lambat maaf salah buka
532;1;verifikasi muncul password login akun gilir reset lucu sial kartu anjing
533;1;login ulang password suruh masuk verifikasi muncul kemarin heran
534;1;ganggu kirim bank
535;1;bayar qris gagal malu jaring bagus selular
536;1;update ganggu
537;1;transfer qris login
538;1;verifikasi wajah gagal
539;1;payah bca produk paylater
540;1;salah bangsat transfer bca mobile jarang
542;1;salah susah buka
543;1;feedback mudah mybca pindah perangkat password verifikasi wajah gagal langgan service suruh kantor cabang alas registrasi sistem ganti opsi video rumit moga simpel terap bank
544;1;verifikasi susah buka mulut kali ulang detect nais
545;1;potong transfer ribu
546;1;jaring bagus login aplikasi mybca
547;1;transfer pindah saldo hilang cek mutasi riwayat transaksi
548;1;verifikasi wajah susah gara pindah mybca blokir arah video langgan service kendala salah sampah
549;1;aplikasi bodoh rumit
550;1;aplikasi buruk salah
551;1;paylater tolak bca
552;1;buruk kartu atm kali lapor
554;1;monyet verifikasi wajah susah ampun suruh terang
555;1;bodoh meni susah verifikasi
556;1;aplikasi transaksi gagal jaring
557;1;ketemu langgan service senang kerja pergi kantor cabang aplikasi mybca alih suara berat putus moga kali alami buruk evaluasi bca
558;1;verifikasi wajah gagal
559;1;aplikasi muncul fitur atur aneh fungsi wajib garis mybca
560;1;informasi pemberitahuan ganggu
561;1;login salah
562;1;login pergi wajah masuk password
563;1;update isi flazz bca susah
564;1;transaksi informasi
565;1;verifikasi wajah gagal nyoba bekal kali
567;1;masak pilih masuk
